-- PRIMERA PARTE DEL PROBLEMA: Verificación de consistencia de arcos y nodos con AC-3 --
Dominio inicial, antes de ac-3: {'x1': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'x2': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'x3': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25], 'x4': [0, 1, 2, 3, 4], 'x5': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]}
Dominio final, después de ac-3: {'x1': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'x2': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'x3': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25], 'x4': [0, 1, 2, 3, 4], 'x5': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]}
AC3 ejecutado sin problemas
Límite superior para x1: 15
Límite superior para x2: 10
Límite superior para x3: 25
Límite superior para x4: 4
Límite superior para x5: 30

--- SEGUNDA PARTE DEL PROBLEMA, OPTIMIZACIÓN MEDIANTE ESCALARIZING ---
Fitness inicial del P_best: 179.8000
Iteración 39/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 40/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 41/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 42/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 43/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 44/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 45/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 46/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 47/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 48/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 49/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 50/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 51/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 52/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 53/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 54/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 55/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 56/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 57/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 58/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 59/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 60/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 61/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 62/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 63/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 64/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 65/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 66/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 67/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 68/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 69/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 70/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 71/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 72/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 73/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 74/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 75/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 76/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 77/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 78/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 79/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 80/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 81/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 82/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 83/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 84/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 85/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 86/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 87/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 88/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 89/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 90/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 91/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 92/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 93/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 94/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 95/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 96/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 97/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 98/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 99/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 100/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 101/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 102/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 103/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 104/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 105/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 106/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 107/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 108/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 109/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 110/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 111/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 112/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 113/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 114/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 115/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 116/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 117/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 118/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 119/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 26  2 30], Fitness: -inf
Iteración 120/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 121/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 122/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 123/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
Iteración 124/300, Fitness del P_best: 467.5000, soluciones: Posición (redondeada): [ 0  0 25  2 30], Fitness: 467.5000
